"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NTN","NTN Buzztime, Inc.","2.25","$6.61M","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/ntn",
"NES","Nuverra Environmental Solutions, Inc.","1.82","$28.69M","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/nes",
"OBLG","Oblong Inc.","3.83","$20.02M","n/a","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/oblg",
"OCX","OncoCyte Corporation","1.29","$86.71M","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/ocx",
"OGEN","Oragenics Inc.","1.32","$73.08M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ogen",
"PCG^A","Pacific Gas & Electric Co.","29.82","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^a",
"PCG^B","Pacific Gas & Electric Co.","26.85","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^b",
"PCG^C","Pacific Gas & Electric Co.","25.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^c",
"PCG^D","Pacific Gas & Electric Co.","25.2","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^d",
"PCG^E","Pacific Gas & Electric Co.","25.4","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^e",
"PCG^G","Pacific Gas & Electric Co.","24.35","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^g",
"PCG^H","Pacific Gas & Electric Co.","24","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^h",
"PCG^I","Pacific Gas & Electric Co.","23.75","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pcg^i",
"PTN","Palatin Technologies, Inc.","0.56","$128.38M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ptn",
"PZG","Paramount Gold Nevada Corp.","1.34","$44.16M","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/pzg",
"PRK","Park National Corporation","69.04","$1.13B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/prk",
"PED","Pedevco Corp.","0.887","$63.98M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ped",
"PFNX","Pfenex Inc.","7.51","$257.53M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/pfnx",
"HNW","Pioneer Diversified High Income Trust","12.37","$103.08M","2007","n/a","n/a","https://old.nasdaq.com/symbol/hnw",
"PLAG","Planet Green Holdings Corp","2.43","$26.8M","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/plag",
"PLG","Platinum Group Metals Ltd.","2.12","$133.29M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/plg",
"PLYM^A","Plymouth Industrial REIT, Inc.","25.15","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/plym^a",
"PLM","Polymet Mining Corp.","0.5403","$543.72M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/plm",
"PW","Power REIT","25.4499","$48.68M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/pw",
"PW^A","Power REIT","26.22","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pw^a",
"PLX","Protalix BioTherapeutics, Inc.","3.58","$116.14M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/plx",
"PTK.U","PTK Acquisition Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/ptk.u",
"RLGT","Radiant Logistics, Inc.","4.2","$207.46M","n/a","Transportation","Oil Refining/Marketing","https://old.nasdaq.com/symbol/rlgt",
"UTG","Reaves Utility Income Fund","31.4","$1.55B","2004","n/a","n/a","https://old.nasdaq.com/symbol/utg",
"RHE","Regional Health Properties, Inc.","1.53","$2.58M","2017","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/rhe",
"RHE^A","Regional Health Properties, Inc.","1.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rhe^a",
"RCG","RENN Fund, Inc.","1.275","$7.59M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rcg",
"RVP","Retractable Technologies, Inc.","9.73","$318M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/rvp",
"REI","Ring Energy, Inc.","1.16","$78.85M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/rei",
"RIF","RMR Real Estate Income Fund","11.3","$115.28M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rif",
"SACC","Sachem Capital Corp.","23.65","n/a","2019","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sacc",
"SACH","Sachem Capital Corp.","3.48","$76.97M","2017","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sach",
"SCCB","Sachem Capital Corp.","25.69","n/a","2019","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/sccb",
"SNMP","Sanchez Midstream Partners LP","0.34","$6.78M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/snmp",
"SEB","Seaboard Corporation","2861.01","$3.32B","1996","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/seb",
"SENS","Senseonics Holdings, Inc.","0.452","$102.89M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/sens",
"SVT","Servotronics, Inc.","7.44","$18.43M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/svt",
"SMTS","Sierra Metals Inc.","1.51","$245.84M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/smts",
"SIF","SIFCO Industries, Inc.","3.7","$21.89M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/sif",
"SVM","Silvercorp Metals Inc.","7.47","$1.3B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/svm",
"SILV","SilverCrest Metals Inc.","9.97","$1.08B","2018","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/silv",
"XPL","Solitario Zinc Corp.","0.4222","$24.54M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/xpl",
"SCE^B","Southern California Edison Company","23.0001","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^b",
"SCE^C","Southern California Edison Company","23.31","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^c",
"SCE^D","Southern California Edison Company","24.195","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^d",
"SCE^E","Southern California Edison Company","24.77","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sce^e",
"LOV","Spark Networks, Inc.","3.88","$101.1M","2017","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/lov",
"STXS","Stereotaxis, Inc.","3.72","$270.45M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/stxs",
"SSY","SunLink Health Systems, Inc.","0.8845","$6.1M","n/a","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/ssy",
"SDPI","Superior Drilling Products, Inc.","0.6926","$17.62M","2014","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/sdpi",
"SYN","Synthetic Biologics, Inc","0.5207","$9.51M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/syn",
"TKAT","Takung Art Co., Ltd.","0.95","$10.71M","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/tkat",
"TALO.WS","Talos Energy, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/talo.ws",
"TRX","Tanzanian Gold Corporation","0.925","$146.95M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/trx",
"TGB","Taseko Mines Limited","0.765","$188.34M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/tgb",
"TGC","Tengasco, Inc.","0.6801","$7.26M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tgc",
"GLU","The Gabelli Global Utility and Income Trust","16.6","$89.13M","2004","n/a","n/a","https://old.nasdaq.com/symbol/glu",
"GLU^A","The Gabelli Global Utility and Income Trust","47.97","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/glu^a",
"GLU^B","The Gabelli Global Utility and Income Trust","51.52","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/glu^b",
"GGO","The Gabelli Go Anywhere Trust","10.75","$16.66M","2016","n/a","n/a","https://old.nasdaq.com/symbol/ggo",
"GGO^A","The Gabelli Go Anywhere Trust","40.665","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ggo^a",
"TDW.WS","Tidewater Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tdw.ws",
"TMBR","Timber Pharmaceuticals, Inc.","2.04","$24.17M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/tmbr",
"TMP","Tompkins Financial Corporation","64.43","$960.48M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/tmp",
"TAT","Transatlantic Petroleum Ltd","0.3701","$23.21M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/tat",
"TRXC","TransEnterix, Inc.","0.3745","$37.36M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/trxc",
"TMQ","Trilogy Metals Inc.","2.19","$308.71M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/tmq",
"TPHS","Trinity Place Holdings Inc.","1.38","$44.43M","n/a","Consumer Services","Building operators","https://old.nasdaq.com/symbol/tphs",
"TRT","Trio-Tech International","3.525","$12.95M","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/trt",
"UFAB","Unique Fabricating, Inc.","2.93","$28.65M","2015","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/ufab",
"UAMY","United States Antimony Corporation","0.4325","$30.24M","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/uamy",
"UUU","Universal Security Instruments, Inc.","1.22","$2.82M","n/a","Technology","Electronic Components","https://old.nasdaq.com/symbol/uuu",
"URG","Ur Energy Inc","0.5964","$95.71M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/urg",
"UEC","Uranium Energy Corp.","1.01","$186.03M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/uec",
"VGZ","Vista Gold Corporation","1.19","$121.49M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/vgz",
"VNRX","VolitionRX Limited","3.74","$172.89M","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/vnrx",
"VOLT","Volt Information Sciences, Inc.","1.46","$31.26M","n/a","Technology","Professional Services","https://old.nasdaq.com/symbol/volt",
"EAD","Wells Fargo Income Opportunities Fund","7.26","$440.12M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ead",
"ERC","Wells Fargo Multi-Sector Income Fund","10.96","$329.68M","2003","n/a","n/a","https://old.nasdaq.com/symbol/erc",
"ERH","Wells Fargo Utilities and High Income Fund","13.1","$121.44M","2004","n/a","n/a","https://old.nasdaq.com/symbol/erh",
"WRN","Western Copper and Gold Corporation","1.19","$136.45M","2011","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/wrn",
"WYY","WidePoint Corporation","0.654","$56.35M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/wyy",
"WTT","Wireless Telecom Group,  Inc.","1.1399","$24.68M","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/wtt",
"XTNT","Xtant Medical Holdings, Inc.","1.0899","$14.41M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xtnt",
"ZDGE","Zedge, Inc.","1.45","$17.69M","2016","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/zdge",
"ZOM","Zomedica Pharmaceuticals Corp.","0.165","$86.38M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/zom",
